state_name,county_entity_name,census_tract_2020_number_fips_code,tract_type
Alabama,Shelby County,1117030407,Directly adjoining
Alabama,Shelby County,1117030408,"Mine closure, Directly adjoining"
Alabama,Shelby County,1117030607,Directly adjoining
Alabama,Shelby County,1117030610,Directly adjoining
Alabama,Shelby County,1117030611,"Mine closure, Directly adjoining"
Alabama,Shelby County,1117030613,Directly adjoining
Alabama,"Tuscaloosa
County",1125010101,Directly adjoining
Alabama,Tuscaloosa County,1125010102,"Mine closure, Directly adjoining"
Alabama,"Tuscaloosa
County",1125010104,Directly adjoining
Alabama,Tuscaloosa County,1125010105,Directly adjoining
Alabama,"Tuscaloosa
County",1125010203,Directly adjoining
Alabama,Tuscaloosa County,1125010500,Directly adjoining
Alabama,"Tuscaloosa
County",1125010601,"Mine closure, Directly adjoining"
Alabama,"Tuscaloosa
County",1125010603,Directly adjoining
Alabama,Tuscaloosa County,1125010604,Directly adjoining
Alabama,"Tuscaloosa
County",1125010703,Directly adjoining
Alabama,"Tuscaloosa
County",1125010706,"Mine closure, Directly adjoining"
Alabama,Tuscaloosa County,1125010707,Directly adjoining
Alabama,"Tuscaloosa
County",1125010802,Directly adjoining
Alabama,"Tuscaloosa
County",1125010803,Directly adjoining
Alabama,Tuscaloosa County,1125010804,Directly adjoining
Alabama,Walker County,1127020100,"Mine closure, Directly adjoining"
Alabama,Walker County,1127020200,Directly adjoining
Alabama,Walker County,1127020302,Directly adjoining
Alabama,Walker County,1127020400,Directly adjoining
Alabama,Walker County,1127020600,Directly adjoining
Alabama,Walker County,1127020700,Directly adjoining
Alabama,Walker County,1127020801,Directly adjoining
Alabama,Walker County,1127020802,"Mine closure, Directly adjoining"
Alabama,Walker County,1127020900,"Mine closure, Directly adjoining"
Alabama,Walker County,1127021000,"Mine closure, Directly adjoining"
Alabama,Walker County,1127021100,"Mine closure, Directly adjoining"
Alabama,Walker County,1127021200,"Mine closure, Directly adjoining"
Alabama,Walker County,1127021300,"Mine closure, Directly adjoining"
Alabama,Walker County,1127021400,"Mine closure, Directly adjoining"
Alabama,Walker County,1127021500,"Mine closure, Generating unit retirement,
Directly adjoining"
Alabama,Walker County,1127021600,"Mine closure, Directly adjoining"
Alabama,Walker County,1127021700,"Mine closure, Directly adjoining"
Alabama,Walker County,1127021800,"Mine closure, Directly adjoining"
Alabama,Walker County,1127021900,"Mine closure, Directly adjoining"
Alabama,Washington County,1129044000,Directly adjoining
Alabama,"Washington
County",1129044100,Generating unit retirement
Alabama,Washington County,1129044200,Directly adjoining
Alabama,"Washington
County",1129044300,Directly adjoining
Alabama,Winston County,1133965501,Directly adjoining
Alabama,Winston County,1133965502,Directly adjoining
Alabama,Winston County,1133965503,Directly adjoining
Alabama,Winston County,1133965601,"Mine closure, Directly adjoining"
Alabama,Winston County,1133965602,Directly adjoining
Alabama,Winston County,1133965700,Directly adjoining
Alabama,Winston County,1133965800,"Mine closure, Directly adjoining"
Alabama,Winston County,1133965900,"Mine closure, Directly adjoining"
Arizona,Apache County,4001970201,Directly adjoining
Arizona,Apache County,4001970300,Directly adjoining
Arizona,Apache County,4001970502,Directly adjoining
Arizona,Coconino County,4005001500,Directly adjoining
Arizona,Coconino County,4005002000,Directly adjoining
Arizona,Coconino County,4005002101,Directly adjoining
Arizona,Coconino County,4005002102,Directly adjoining
Arizona,Coconino County,4005942201,Directly adjoining
Arizona,Coconino County,4005942202,Generating unit retirement
Arizona,Mohave County,4015950103,Directly adjoining
Arizona,Mohave County,4015951404,Directly adjoining
Arizona,Mohave County,4015951601,Directly adjoining
Arizona,Mohave County,4015951602,Directly adjoining
Arizona,Mohave County,4015951702,Directly adjoining
Arizona,Navajo County,4017940014,Directly adjoining
Arizona,Navajo County,4017940015,Directly adjoining
Arizona,Navajo County,4017942300,Directly adjoining
Arizona,Navajo County,4017960100,Directly adjoining
Arizona,Navajo County,4017960200,Directly adjoining
Arizona,Navajo County,4017960400,Directly adjoining
Arizona,Navajo County,4017960500,"Generating unit retirement, Directly adjoining"
Arizona,Navajo County,4017960600,Directly adjoining
Arizona,Navajo County,4017963300,"Generating unit retirement, Directly
adjoining"
Arizona,Navajo County,4017963400,Directly adjoining
Arizona,Navajo County,4017963800,Directly adjoining
Arizona,Navajo County,4017964202,Directly adjoining
Arkansas,Crittenden County,5035030602,Directly adjoining
Arkansas,Franklin County,5047950201,Directly adjoining
Arkansas,Johnson County,5071951700,Directly adjoining
Arkansas,Johnson County,5071951800,Mine closure
Arkansas,Johnson County,5071951900,Directly adjoining
Arkansas,Johnson County,5071952000,Directly adjoining
Arkansas,Logan County,5083950100,Directly adjoining
Arkansas,Logan County,5083950200,Directly adjoining
Arkansas,Scott County,5127950100,Directly adjoining
Arkansas,Sebastian County,5131010102,Directly adjoining
Arkansas,Sebastian County,5131010202,Directly adjoining
Arkansas,Sebastian County,5131010301,Directly adjoining
Arkansas,Sebastian County,5131010303,"Mine closure, Directly adjoining"
Arkansas,Sebastian County,5131010304,"Mine closure, Directly adjoining"
California,Inyo County,6027000800,Directly adjoining
California,Kern County,6029000102,Directly adjoining
California,Kern County,6029000104,Directly adjoining
California,Kern County,6029000105,Directly adjoining
California,Kern County,6029000106,Directly adjoining
California,Kern County,6029000201,Directly adjoining
California,Kern County,6029000300,Directly adjoining
California,Kern County,6029000400,Directly adjoining
California,Kern County,6029000601,Directly adjoining
California,Kern County,6029000702,Directly adjoining
California,Kern County,6029000800,Directly adjoining
California,Kern County,6029000902,Directly adjoining
California,Kern County,6029000914,Directly adjoining
California,Kern County,6029003900,Directly adjoining
California,Kern County,6029004605,Directly adjoining
California,Kern County,6029005103,"Generating unit retirement, Directly adjoining"
California,Kern County,6029005104,Directly adjoining
California,Kern County,6029005205,Directly adjoining
California,Kern County,6029005206,Directly adjoining
California,Kern County,6029005207,Directly adjoining
California,Kern County,6029005208,"Generating unit retirement, Directly adjoining"
California,Kern County,6029005300,Directly adjoining
California,Kern County,6029005410,Directly adjoining
California,Kern County,6029005509,Directly adjoining
California,Kern County,6029006500,Directly adjoining
California,Riverside County,6065030104,Directly adjoining
California,Riverside County,6065040101,Directly adjoining
California,Riverside County,6065042300,Directly adjoining
California,"San Bernardino
County",6071003606,Directly adjoining
California,San Bernardino County,6071003609,Directly adjoining
California,"San Bernardino
County",6071003612,Directly adjoining
California,"San Bernardino
County",6071004001,Directly adjoining
California,San Bernardino County,6071004003,Directly adjoining
California,"San Bernardino
County",6071004004,Generating unit retirement
California,"San Bernardino
County",6071006601,Directly adjoining
California,San Bernardino County,6071007107,Directly adjoining
California,"San Bernardino
County",6071008901,Generating unit retirement
California,"San Bernardino
County",6071010300,Directly adjoining
California,San Bernardino County,6071011602,Directly adjoining
California,"San Bernardino
County",6071012500,Directly adjoining
California,San Bernardino County,6071025000,Directly adjoining
California,San Joaquin County,6077002100,Directly adjoining
California,"San Joaquin
County",6077002201,Directly adjoining
California,San Joaquin County,6077002202,Directly adjoining
California,"San Joaquin
County",6077002300,Directly adjoining
California,San Joaquin County,6077002800,Generating unit retirement
California,"San Joaquin
County",6077003700,Directly adjoining
California,"San Joaquin
County",6077003803,Directly adjoining
California,Tulare County,6107002701,Directly adjoining
California,Tulare County,6107004301,Directly adjoining
California,Tulare County,6107004500,Directly adjoining
Colorado,Adams County,8001008802,Directly adjoining
Colorado,Adams County,8001008901,Directly adjoining
Colorado,Adams County,8001009001,Directly adjoining
Colorado,Adams County,8001009003,Directly adjoining
Colorado,Adams County,8001009004,Directly adjoining
Colorado,Adams County,8001009103,Directly adjoining
Colorado,Adams County,8001009104,Directly adjoining
Colorado,Adams County,8001009307,Directly adjoining
Colorado,Adams County,8001009553,Directly adjoining
Colorado,Adams County,8001015000,Generating unit retirement
Colorado,Arapahoe County,8005005551,Directly adjoining
Colorado,Arapahoe County,8005005701,Directly adjoining
Colorado,Baca County,8009964600,Directly adjoining
Colorado,Baca County,8009964700,Directly adjoining
Colorado,Bent County,8011966702,Directly adjoining
Colorado,Boulder County,8013012207,Directly adjoining
Colorado,Boulder County,8013012208,Directly adjoining
Colorado,Boulder County,8013012603,Directly adjoining
Colorado,Boulder County,8013012701,Directly adjoining
Colorado,Boulder County,8013012705,Directly adjoining
Colorado,Boulder County,8013012707,Generating unit retirement
Colorado,Boulder County,8013012708,Directly adjoining
Colorado,Boulder County,8013012709,Directly adjoining
Colorado,Boulder County,8013012710,Directly adjoining
Colorado,Boulder County,8013012801,Directly adjoining
Colorado,Boulder County,8013012802,Directly adjoining
Colorado,Boulder County,8013012903,Directly adjoining
Colorado,Boulder County,8013013003,Directly adjoining
Colorado,Costilla County,8023972700,Directly adjoining
Colorado,Custer County,8027970101,Directly adjoining
Colorado,Custer County,8027970102,Directly adjoining
Colorado,Delta County,8029964600,"Mine closure, Directly adjoining"
Colorado,Delta County,8029964700,Directly adjoining
Colorado,Delta County,8029964800,Directly adjoining
Colorado,Delta County,8029965001,Directly adjoining
Colorado,Delta County,8029965002,Directly adjoining
Colorado,Delta County,8029965202,Directly adjoining
Colorado,Denver County,8031001402,Directly adjoining
Colorado,Denver County,8031001403,Directly adjoining
Colorado,Denver County,8031001500,Directly adjoining
Colorado,Denver County,8031004602,Directly adjoining
Colorado,Denver County,8031004603,Directly adjoining
Colorado,Denver County,8031015600,Generating unit retirement
Colorado,Denver County,8031015700,Directly adjoining
Colorado,Dolores County,8033000100,Directly adjoining
Colorado,El Paso County,8041001500,Directly adjoining
Colorado,El Paso County,8041001600,Directly adjoining
Colorado,El Paso County,8041001700,Directly adjoining
Colorado,El Paso County,8041002200,Directly adjoining
Colorado,El Paso County,8041002300,Generating unit retirement
Colorado,El Paso County,8041002802,Directly adjoining
Colorado,El Paso County,8041003001,Directly adjoining
Colorado,Fremont County,8043978100,Directly adjoining
Colorado,Fremont County,8043978200,Directly adjoining
Colorado,Fremont County,8043978300,Mine closure
Colorado,Fremont County,8043978400,Directly adjoining
Colorado,Fremont County,8043978500,Directly adjoining
Colorado,Fremont County,8043978600,Directly adjoining
Colorado,Fremont County,8043978800,Directly adjoining
Colorado,Fremont County,8043979001,Directly adjoining
Colorado,Fremont County,8043979002,Directly adjoining
Colorado,Fremont County,8043979100,Directly adjoining
Colorado,Fremont County,8043979200,Generating unit retirement
Colorado,Fremont County,8043979400,Directly adjoining
Colorado,Fremont County,8043980100,Directly adjoining
Colorado,Fremont County,8043980300,Directly adjoining
Colorado,Garfield County,8045951901,Directly adjoining
Colorado,Garfield County,8045952003,Directly adjoining
Colorado,Garfield County,8045952100,"Mine closure, Directly adjoining"
Colorado,Gunnison County,8051963601,Directly adjoining
Colorado,Gunnison County,8051963800,Directly adjoining
Colorado,Gunnison County,8051963900,"Mine closure, Directly adjoining"
Colorado,Hinsdale County,8053973100,Directly adjoining
Colorado,Huerfano County,8055960902,Directly adjoining
Colorado,Jefferson County,8059009806,Directly adjoining
Colorado,Jefferson County,8059009842,Directly adjoining
Colorado,Jefferson County,8059009852,Directly adjoining
Colorado,Jefferson County,8059009854,Directly adjoining
Colorado,Jefferson County,8059009855,Directly adjoining
Colorado,Jefferson County,8059009857,Directly adjoining
Colorado,Jefferson County,8059009901,Generating unit retirement
Colorado,Jefferson County,8059010001,Directly adjoining
Colorado,Jefferson County,8059980800,Directly adjoining
Colorado,Kiowa County,8061960100,Directly adjoining
Colorado,La Plata County,8067940400,Directly adjoining
Colorado,La Plata County,8067970701,Mine closure
Colorado,La Plata County,8067970703,Directly adjoining
Colorado,La Plata County,8067970705,Directly adjoining
Colorado,La Plata County,8067970900,Directly adjoining
Colorado,La Plata County,8067971000,Directly adjoining
Colorado,La Plata County,8067971100,Directly adjoining
Colorado,"Las Animas
County",8071000100,Directly adjoining
Colorado,"Las Animas
County",8071000200,Directly adjoining
Colorado,Las Animas County,8071000300,"Mine closure, Directly adjoining"
Colorado,"Las Animas
County",8071000400,Directly adjoining
Colorado,"Las Animas
County",8071000500,Generating unit retirement
Colorado,Las Animas County,8071000800,Directly adjoining
Colorado,Mesa County,8077001102,Directly adjoining
Colorado,Mesa County,8077001200,Directly adjoining
Colorado,Mesa County,8077001502,Directly adjoining
Colorado,Mesa County,8077001600,Directly adjoining
Colorado,Mesa County,8077001702,"Generating unit retirement, Directly adjoining"
Colorado,Mesa County,8077001703,Directly adjoining
Colorado,Mesa County,8077001705,Directly adjoining
Colorado,Mesa County,8077001706,Directly adjoining
Colorado,Mesa County,8077001800,"Mine closure, Directly adjoining"
Colorado,Mesa County,8077001900,Directly adjoining
Colorado,Moffat County,8081000300,Directly adjoining
Colorado,Moffat County,8081000600,"Mine closure, Directly adjoining"
Colorado,"Montezuma
County",8083941100,Directly adjoining
Colorado,Montezuma County,8083969000,Directly adjoining
Colorado,"Montezuma
County",8083969100,Directly adjoining
Colorado,Montrose County,8085966100,"Mine closure, Generating unit retirement"
Colorado,Montrose County,8085966201,Directly adjoining
Colorado,Montrose County,8085966202,Directly adjoining
Colorado,Montrose County,8085966501,Directly adjoining
Colorado,Montrose County,8085966602,Directly adjoining
Colorado,Ouray County,8091967601,Directly adjoining
Colorado,Ouray County,8091967602,Directly adjoining
Colorado,Pitkin County,8097000101,Directly adjoining
Colorado,Pitkin County,8097000102,Directly adjoining
Colorado,Prowers County,8099000100,Directly adjoining
Colorado,Prowers County,8099000200,Directly adjoining
Colorado,Prowers County,8099000300,Directly adjoining
Colorado,Prowers County,8099000600,Directly adjoining
Colorado,Prowers County,8099000700,Generating unit retirement
Colorado,Pueblo County,8101002804,Directly adjoining
Colorado,Pueblo County,8101002806,Directly adjoining
Colorado,Pueblo County,8101003103,Directly adjoining
Colorado,Pueblo County,8101003104,Directly adjoining
Colorado,Pueblo County,8101003105,Directly adjoining
Colorado,Pueblo County,8101003106,Generating unit retirement
Colorado,Pueblo County,8101003200,Directly adjoining
Colorado,Rio Blanco County,8103951100,Directly adjoining
Colorado,Rio Blanco County,8103951200,Directly adjoining
Colorado,Routt County,8107000100,Directly adjoining
Colorado,Routt County,8107000200,Directly adjoining
Colorado,Routt County,8107000300,"Mine closure, Directly adjoining"
Colorado,Routt County,8107000400,Directly adjoining
Colorado,Routt County,8107000500,Directly adjoining
Colorado,Routt County,8107000800,Directly adjoining
Colorado,Saguache County,8109977600,Directly adjoining
Colorado,San Juan County,8111972600,Directly adjoining
Colorado,San Miguel County,8113968103,Directly adjoining
Colorado,"San Miguel
County",8113968200,Directly adjoining
Colorado,Teller County,8119010203,Directly adjoining
Connecticut,Fairfield County,9001070400,Directly adjoining
Connecticut,Fairfield County,9001070500,Directly adjoining
Connecticut,Fairfield County,9001070600,Generating unit retirement
Connecticut,Fairfield County,9001070900,Directly adjoining
Connecticut,Fairfield County,9001071200,Directly adjoining
Connecticut,Fairfield County,9001071300,Directly adjoining
Connecticut,Fairfield County,9001071600,Directly adjoining
Connecticut,Fairfield County,9001073900,Directly adjoining
Connecticut,Fairfield County,9001074000,Directly adjoining
Connecticut,Fairfield County,9001074400,Directly adjoining
Connecticut,Fairfield County,9001257200,Directly adjoining
Connecticut,New London County,9011693600,Directly adjoining
Connecticut,"New London
County",9011693700,Directly adjoining
Connecticut,"New London
County",9011695201,Directly adjoining
Connecticut,New London County,9011701200,Directly adjoining
Connecticut,"New London
County",9011870501,Directly adjoining
Connecticut,"New London
County",9011870502,Generating unit retirement
Delaware,New Castle County,10003990100,Directly adjoining
Delaware,Sussex County,10005050601,Directly adjoining
Delaware,Sussex County,10005050604,Directly adjoining
Delaware,Sussex County,10005050703,Directly adjoining
Delaware,Sussex County,10005051308,Directly adjoining
Delaware,Sussex County,10005051400,Directly adjoining
Delaware,Sussex County,10005051501,Directly adjoining
Delaware,Sussex County,10005051502,Generating unit retirement
Delaware,Sussex County,10005051702,Directly adjoining
District of Columbia,District of Columbia,11001007301,Directly adjoining
"District of
Columbia","District of
Columbia",11001010900,Directly adjoining
Florida,Bay County,12005000201,Directly adjoining
Florida,Bay County,12005000203,Directly adjoining
Florida,Bay County,12005000204,Generating unit retirement
Florida,Bay County,12005000402,Directly adjoining
Florida,Bay County,12005001403,Directly adjoining
Florida,Bay County,12005001404,Directly adjoining
Florida,Bay County,12005001501,Directly adjoining
Florida,Bay County,12005002500,Directly adjoining
Florida,Bay County,12005002609,Directly adjoining
Florida,Bay County,12005002703,Directly adjoining
Florida,Bay County,12005002706,Directly adjoining
Florida,Bay County,12005002709,Directly adjoining
Florida,Bay County,12005002710,Directly adjoining
Florida,Calhoun County,12013010100,Directly adjoining
Florida,Citrus County,12017450305,Directly adjoining
Florida,Citrus County,12017450401,Directly adjoining
Florida,Citrus County,12017450402,Generating unit retirement
Florida,Citrus County,12017450501,Directly adjoining
Florida,Citrus County,12017990000,Directly adjoining
Florida,Duval County,12031000101,Directly adjoining
Florida,Duval County,12031010101,Directly adjoining
Florida,Duval County,12031010104,Generating unit retirement
Florida,Duval County,12031010105,Directly adjoining
Florida,Duval County,12031010106,Directly adjoining
Florida,Duval County,12031010202,Generating unit retirement
Florida,Duval County,12031010203,Directly adjoining
Florida,Duval County,12031010204,Directly adjoining
Florida,Duval County,12031010307,Directly adjoining
Florida,Duval County,12031010402,Directly adjoining
Florida,Duval County,12031014601,Directly adjoining
Florida,Duval County,12031014703,Directly adjoining
Florida,Gadsden County,12039020400,Directly adjoining
Florida,Hillsborough County,12057013604,Directly adjoining
Florida,"Hillsborough
County",12057013801,Generating unit retirement
Florida,Hillsborough County,12057013802,Directly adjoining
Florida,"Hillsborough
County",12057013803,Directly adjoining
Florida,"Hillsborough
County",12057013804,Directly adjoining
Florida,Hillsborough County,12057014106,Directly adjoining
Florida,"Hillsborough
County",12057014117,Directly adjoining
Florida,"Hillsborough
County",12057014119,Directly adjoining
Florida,Hillsborough County,12057990000,Directly adjoining
Florida,Jackson County,12063210901,Generating unit retirement
Florida,Jackson County,12063210902,Directly adjoining
Florida,Jackson County,12063211000,Directly adjoining
Florida,Levy County,12075970700,Directly adjoining
Florida,Liberty County,12077950202,Directly adjoining
Florida,Martin County,12085001803,Directly adjoining
Florida,Martin County,12085001804,Generating unit retirement
Florida,Martin County,12085001805,Directly adjoining
Florida,Martin County,12085001806,Directly adjoining
Florida,Polk County,12105010300,Directly adjoining
Florida,Polk County,12105011300,Directly adjoining
Florida,Polk County,12105011400,Directly adjoining
Florida,Polk County,12105011501,Directly adjoining
Florida,Polk County,12105011502,Generating unit retirement
Florida,Polk County,12105011605,Directly adjoining
Florida,Polk County,12105011606,Directly adjoining
Florida,Polk County,12105012207,Directly adjoining
Florida,Polk County,12105012209,Directly adjoining
Florida,Polk County,12105012304,Directly adjoining
Florida,Walton County,12131950501,Directly adjoining
Florida,Walton County,12131950610,Directly adjoining
Georgia,Baldwin County,13009970202,Directly adjoining
Georgia,Baldwin County,13009970301,Directly adjoining
Georgia,Burke County,13033950102,Directly adjoining
Georgia,Butts County,13035150102,Directly adjoining
Georgia,Carroll County,13045910800,Directly adjoining
Georgia,Chatham County,13051010601,Directly adjoining
Georgia,Chatham County,13051010603,Directly adjoining
Georgia,Chatham County,13051010701,"Generating unit retirement, Directly adjoining"
Georgia,Chatham County,13051010702,Directly adjoining
Georgia,Chatham County,13051010703,Directly adjoining
Georgia,Chatham County,13051010704,Directly adjoining
Georgia,Chatham County,13051010811,Directly adjoining
Georgia,Chatham County,13051980000,Directly adjoining
Georgia,Chattooga County,13055010600,Directly adjoining
Georgia,Cobb County,13067031213,Directly adjoining
Georgia,Cobb County,13067031214,Generating unit retirement
Georgia,Cobb County,13067031215,Directly adjoining
Georgia,Cobb County,13067031314,Directly adjoining
Georgia,Coweta County,13077170101,Generating unit retirement
Georgia,Coweta County,13077170102,Directly adjoining
Georgia,Coweta County,13077170200,Directly adjoining
Georgia,Coweta County,13077170303,Directly adjoining
Georgia,Coweta County,13077170304,Directly adjoining
Georgia,Dougherty County,13095000101,Directly adjoining
Georgia,Dougherty County,13095000102,Directly adjoining
Georgia,Dougherty County,13095000200,Directly adjoining
Georgia,Dougherty County,13095010302,Directly adjoining
Georgia,Dougherty County,13095010602,Directly adjoining
Georgia,Dougherty County,13095010900,Directly adjoining
Georgia,Dougherty County,13095011000,Generating unit retirement
Georgia,Dougherty County,13095011200,Generating unit retirement
Georgia,Dougherty County,13095011300,Directly adjoining
Georgia,Dougherty County,13095011600,Directly adjoining
Georgia,Effingham County,13103030303,Directly adjoining
Georgia,Effingham County,13103030306,Directly adjoining
Georgia,Effingham County,13103030307,Directly adjoining
Georgia,Effingham County,13103030308,Directly adjoining
Georgia,Effingham County,13103030309,"Generating unit retirement, Directly
adjoining"
Georgia,Floyd County,13115000300,Directly adjoining
Georgia,Floyd County,13115000402,Directly adjoining
Georgia,Floyd County,13115001200,Directly adjoining
Georgia,Floyd County,13115001301,Directly adjoining
Georgia,Floyd County,13115001302,Directly adjoining
Georgia,Floyd County,13115001400,Generating unit retirement
Georgia,Floyd County,13115002000,Directly adjoining
Georgia,Floyd County,13115002100,Directly adjoining
Georgia,Fulton County,13121008701,Directly adjoining
Georgia,Fulton County,13121008801,Directly adjoining
Georgia,Fulton County,13121008802,Directly adjoining
Georgia,Fulton County,13121008903,Directly adjoining
Georgia,Fulton County,13121010402,Directly adjoining
Georgia,Hancock County,13141480300,Directly adjoining
Georgia,Jasper County,13159010503,Directly adjoining
Georgia,Jones County,13169030101,Directly adjoining
Georgia,Jones County,13169030200,Directly adjoining
Georgia,Lee County,13177020101,Directly adjoining
Georgia,Mitchell County,13205090100,Directly adjoining
Georgia,Monroe County,13207050101,Directly adjoining
Georgia,Monroe County,13207050102,Generating unit retirement
Georgia,Monroe County,13207050200,Directly adjoining
Georgia,Monroe County,13207050302,Directly adjoining
Georgia,Putnam County,13237960101,Directly adjoining
Georgia,Putnam County,13237960301,Directly adjoining
Georgia,Putnam County,13237960302,Generating unit retirement
Georgia,Worth County,13321950100,Directly adjoining
Georgia,Worth County,13321950201,Directly adjoining
Georgia,Worth County,13321950500,Directly adjoining
Hawaii,Honolulu County,15003008502,Directly adjoining
Hawaii,Honolulu County,15003008610,Directly adjoining
Hawaii,Honolulu County,15003980300,Generating unit retirement
Hawaii,Honolulu County,15003990001,Directly adjoining
Illinois,Adams County,17001010200,Directly adjoining
Illinois,Bond County,17005951200,Directly adjoining
Illinois,Bond County,17005951400,Directly adjoining
Illinois,Brown County,17009970400,Directly adjoining
Illinois,Bureau County,17011965000,Directly adjoining
Illinois,Bureau County,17011965500,Directly adjoining
Illinois,Calhoun County,17013951200,Directly adjoining
Illinois,Cass County,17017960100,Directly adjoining
Illinois,Cass County,17017960200,Directly adjoining
Illinois,Cass County,17017960300,Directly adjoining
