laus_code,state_fips_code,county_fips_code,county_name_state_abbreviation,year,labor_force,employed,unemployed,unemployment_rate
CN0100100000000,01,001,"Autauga County, AL",2022,26789,26181,608,2.3     
CN0100300000000,01,003,"Baldwin County, AL",2022,102849,100432,2417,2.4     
CN0100500000000,01,005,"Barbour County, AL",2022,8241,7906,335,4.1     
CN0100700000000,01,007,"Bibb County, AL",2022,8726,8507,219,2.5     
CN0100900000000,01,009,"Blount County, AL",2022,25796,25222,574,2.2     
CN0101100000000,01,011,"Bullock County, AL",2022,4554,4426,128,2.8     
CN0101300000000,01,013,"Butler County, AL",2022,8804,8503,301,3.4     
CN0101500000000,01,015,"Calhoun County, AL",2022,46140,44741,1399,3.0     
CN0101700000000,01,017,"Chambers County, AL",2022,15933,15523,410,2.6     
CN0101900000000,01,019,"Cherokee County, AL",2022,11696,11422,274,2.3     
CN0102100000000,01,021,"Chilton County, AL",2022,20266,19806,460,2.3     
CN0102300000000,01,023,"Choctaw County, AL",2022,4298,4133,165,3.8     
CN0102500000000,01,025,"Clarke County, AL",2022,7694,7309,385,5.0     
CN0102700000000,01,027,"Clay County, AL",2022,6130,5991,139,2.3     
CN0102900000000,01,029,"Cleburne County, AL",2022,6141,5993,148,2.4     
CN0103100000000,01,031,"Coffee County, AL",2022,21597,21049,548,2.5     
CN0103300000000,01,033,"Colbert County, AL",2022,23842,23120,722,3.0     
CN0103500000000,01,035,"Conecuh County, AL",2022,4242,4092,150,3.5     
CN0103700000000,01,037,"Coosa County, AL",2022,4459,4346,113,2.5     
CN0103900000000,01,039,"Covington County, AL",2022,15152,14753,399,2.6     
CN0104100000000,01,041,"Crenshaw County, AL",2022,5977,5820,157,2.6     
CN0104300000000,01,043,"Cullman County, AL",2022,39337,38525,812,2.1     
CN0104500000000,01,045,"Dale County, AL",2022,21052,20500,552,2.6     
CN0104700000000,01,047,"Dallas County, AL",2022,13749,13055,694,5.0     
CN0104900000000,01,049,"DeKalb County, AL",2022,31146,30416,730,2.3     
CN0105100000000,01,051,"Elmore County, AL",2022,38234,37395,839,2.2     
CN0105300000000,01,053,"Escambia County, AL",2022,14231,13789,442,3.1     
CN0105500000000,01,055,"Etowah County, AL",2022,39274,38085,1189,3.0     
CN0105700000000,01,057,"Fayette County, AL",2022,6591,6411,180,2.7     
CN0105900000000,01,059,"Franklin County, AL",2022,14565,14223,342,2.3     
CN0106100000000,01,061,"Geneva County, AL",2022,11267,10997,270,2.4     
CN0106300000000,01,063,"Greene County, AL",2022,2740,2620,120,4.4     
CN0106500000000,01,065,"Hale County, AL",2022,5961,5729,232,3.9     
CN0106700000000,01,067,"Henry County, AL",2022,7053,6862,191,2.7     
CN0106900000000,01,069,"Houston County, AL",2022,48000,46756,1244,2.6     
CN0107100000000,01,071,"Jackson County, AL",2022,23185,22602,583,2.5     
CN0107300000000,01,073,"Jefferson County, AL",2022,323290,314943,8347,2.6     
CN0107500000000,01,075,"Lamar County, AL",2022,5724,5569,155,2.7     
CN0107700000000,01,077,"Lauderdale County, AL",2022,42919,41788,1131,2.6     
CN0107900000000,01,079,"Lawrence County, AL",2022,14737,14382,355,2.4     
CN0108100000000,01,081,"Lee County, AL",2022,79466,77595,1871,2.4     
CN0108300000000,01,083,"Limestone County, AL",2022,48335,47322,1013,2.1     
CN0108500000000,01,085,"Lowndes County, AL",2022,3506,3324,182,5.2     
CN0108700000000,01,087,"Macon County, AL",2022,7862,7563,299,3.8     
CN0108900000000,01,089,"Madison County, AL",2022,199231,194989,4242,2.1     
CN0109100000000,01,091,"Marengo County, AL",2022,7611,7351,260,3.4     
CN0109300000000,01,093,"Marion County, AL",2022,13808,13464,344,2.5     
CN0109500000000,01,095,"Marshall County, AL",2022,45464,44531,933,2.1     
CN0109700000000,01,097,"Mobile County, AL",2022,192312,186073,6239,3.2     
CN0109900000000,01,099,"Monroe County, AL",2022,7300,7001,299,4.1     
CN0110100000000,01,101,"Montgomery County, AL",2022,107183,103886,3297,3.1     
CN0110300000000,01,103,"Morgan County, AL",2022,60820,59548,1272,2.1     
CN0110500000000,01,105,"Perry County, AL",2022,3083,2921,162,5.3     
CN0110700000000,01,107,"Pickens County, AL",2022,7681,7431,250,3.3     
CN0110900000000,01,109,"Pike County, AL",2022,16115,15674,441,2.7     
CN0111100000000,01,111,"Randolph County, AL",2022,9692,9454,238,2.5     
CN0111300000000,01,113,"Russell County, AL",2022,23708,23091,617,2.6     
CN0111500000000,01,115,"St. Clair County, AL",2022,42213,41285,928,2.2     
CN0111700000000,01,117,"Shelby County, AL",2022,121349,119126,2223,1.8     
CN0111900000000,01,119,"Sumter County, AL",2022,4597,4435,162,3.5     
CN0112100000000,01,121,"Talladega County, AL",2022,36362,35239,1123,3.1     
CN0112300000000,01,123,"Tallapoosa County, AL",2022,17593,17091,502,2.9     
CN0112500000000,01,125,"Tuscaloosa County, AL",2022,103432,100816,2616,2.5     
CN0112700000000,01,127,"Walker County, AL",2022,25568,24864,704,2.8     
CN0112900000000,01,129,"Washington County, AL",2022,6565,6326,239,3.6     
CN0113100000000,01,131,"Wilcox County, AL",2022,2528,2331,197,7.8     
CN0113300000000,01,133,"Winston County, AL",2022,10271,10020,251,2.4     
CN0201300000000,02,013,"Aleutians East Borough, AK",2022,2434,2386,48,2.0     
CN0201600000000,02,016,"Aleutians West Census Area, AK",2022,3480,3373,107,3.1     
CN0202000000000,02,020,"Anchorage Borough/municipality, AK",2022,151342,146302,5040,3.3     
CN0205000000000,02,050,"Bethel Census Area, AK",2022,6680,6091,589,8.8     
CN0206000000000,02,060,"Bristol Bay Borough, AK",2022,422,404,18,4.3     
CN0206300000000,02,063,"Chugach Census Area, AK",2022,3387,3290,97,2.9     
CN0206600000000,02,066,"Copper River Census Area, AK",2022,1405,1275,130,9.3     
CN0206800000000,02,068,"Denali Borough, AK",2022,997,934,63,6.3     
CN0207000000000,02,070,"Dillingham Census Area, AK",2022,1665,1572,93,5.6     
CN0209000000000,02,090,"Fairbanks North Star Borough, AK",2022,45385,43716,1669,3.7     
CN0210000000000,02,100,"Haines Borough, AK",2022,1058,988,70,6.6     
CN0210500000000,02,105,"Hoonah-Angoon Census Area, AK",2022,1251,1181,70,5.6     
CN0211000000000,02,110,"Juneau Borough/city, AK",2022,17387,16904,483,2.8     
CN0212200000000,02,122,"Kenai Peninsula Borough, AK",2022,28188,26918,1270,4.5     
CN0213000000000,02,130,"Ketchikan Gateway Borough, AK",2022,6786,6529,257,3.8     
CN0215000000000,02,150,"Kodiak Island Borough, AK",2022,5983,5723,260,4.3     
CN0215800000000,02,158,"Kusilvak Census Area, AK",2022,2254,1963,291,12.9     
CN0216400000000,02,164,"Lake and Peninsula Borough, AK",2022,638,601,37,5.8     
CN0217000000000,02,170,"Matanuska-Susitna Borough, AK",2022,49942,47639,2303,4.6     
CN0218000000000,02,180,"Nome Census Area, AK",2022,4138,3854,284,6.9     
CN0218500000000,02,185,"North Slope Borough, AK",2022,2969,2820,149,5.0     
CN0218800000000,02,188,"Northwest Arctic Borough, AK",2022,2787,2537,250,9.0     
CN0219500000000,02,195,"Petersburg Borough, AK",2022,1446,1362,84,5.8     
CN0219800000000,02,198,"Prince of Wales-Hyder Census Area, AK",2022,2693,2545,148,5.5     
CN0222000000000,02,220,"Sitka Borough/city, AK",2022,4529,4404,125,2.8     
CN0223000000000,02,230,"Skagway Municipality, AK",2022,745,695,50,6.7     
CN0224000000000,02,240,"Southeast Fairbanks Census Area, AK",2022,3252,3083,169,5.2     
CN0227500000000,02,275,"Wrangell Borough/city, AK",2022,886,841,45,5.1     
CN0228200000000,02,282,"Yakutat Borough/city, AK",2022,312,296,16,5.1     
CN0229000000000,02,290,"Yukon-Koyukuk Census Area, AK",2022,2363,2177,186,7.9     
CN0400100000000,04,001,"Apache County, AZ",2022,18688,17253,1435,7.7     
CN0400300000000,04,003,"Cochise County, AZ",2022,48819,46666,2153,4.4     
CN0400500000000,04,005,"Coconino County, AZ",2022,74051,70842,3209,4.3     
CN0400700000000,04,007,"Gila County, AZ",2022,20410,19559,851,4.2     
CN0400900000000,04,009,"Graham County, AZ",2022,16113,15534,579,3.6     
CN0401100000000,04,011,"Greenlee County, AZ",2022,4766,4630,136,2.9     
CN0401200000000,04,012,"La Paz County, AZ",2022,8906,8487,419,4.7     
CN0401300000000,04,013,"Maricopa County, AZ",2022,2380680,2301171,79509,3.3     
CN0401500000000,04,015,"Mohave County, AZ",2022,89853,85787,4066,4.5     
CN0401700000000,04,017,"Navajo County, AZ",2022,39644,37589,2055,5.2     
CN0401900000000,04,019,"Pima County, AZ",2022,489775,471177,18598,3.8     
CN0402100000000,04,021,"Pinal County, AZ",2022,199232,191531,7701,3.9     
CN0402300000000,04,023,"Santa Cruz County, AZ",2022,18887,17464,1423,7.5     
CN0402500000000,04,025,"Yavapai County, AZ",2022,107575,103849,3726,3.5     
CN0402700000000,04,027,"Yuma County, AZ",2022,97765,85496,12269,12.5     
CN0500100000000,05,001,"Arkansas County, AR",2022,9344,9038,306,3.3     
CN0500300000000,05,003,"Ashley County, AR",2022,6779,6406,373,5.5     
CN0500500000000,05,005,"Baxter County, AR",2022,16572,15979,593,3.6     
CN0500700000000,05,007,"Benton County, AR",2022,151719,148103,3616,2.4     
CN0500900000000,05,009,"Boone County, AR",2022,15896,15438,458,2.9     
CN0501100000000,05,011,"Bradley County, AR",2022,4093,3889,204,5.0     
CN0501300000000,05,013,"Calhoun County, AR",2022,2372,2298,74,3.1     
CN0501500000000,05,015,"Carroll County, AR",2022,12552,12182,370,2.9     
CN0501700000000,05,017,"Chicot County, AR",2022,2987,2801,186,6.2     
CN0501900000000,05,019,"Clark County, AR",2022,8532,8147,385,4.5     
CN0502100000000,05,021,"Clay County, AR",2022,5446,5229,217,4.0     
CN0502300000000,05,023,"Cleburne County, AR",2022,8986,8605,381,4.2     
CN0502500000000,05,025,"Cleveland County, AR",2022,3093,2973,120,3.9     
CN0502700000000,05,027,"Columbia County, AR",2022,8832,8447,385,4.4     
CN0502900000000,05,029,"Conway County, AR",2022,8411,8096,315,3.7     
CN0503100000000,05,031,"Craighead County, AR",2022,57622,56034,1588,2.8     
CN0503300000000,05,033,"Crawford County, AR",2022,26319,25473,846,3.2     
CN0503500000000,05,035,"Crittenden County, AR",2022,20626,19791,835,4.0     
CN0503700000000,05,037,"Cross County, AR",2022,6978,6721,257,3.7     
